Statement Price Movement,Type,Test Size,Number of Matching Sentences,Accuracy,F1 Score,Precision,Recall,Insights
Statement Similarity Score,positive,0.33,20,0.4666666666666667,0.5294117647058824,0.5294117647058824,0.5294117647058824,"The analysis indicates that higher average similarity scores tend to correlate with positive price movements, while lower scores are often associated with negative movements. Specifically, the score ranges around 0.5 appear critical, as scores above this threshold lean towards positive movements and those below towards negative. The positive relationships strengthen as scores approach or exceed 0.55."
News Similarity Score,positive,0.33,25,0.4666666666666667,0.5555555555555556,0.5263157894736842,0.5882352941176471,"The analysis shows that a higher Average Similarity Score often correlates with a Positive price movement while lower scores more frequently align with Negative movements. Scores above approximately 0.65 tend to favor Positive movements, whereas those below this threshold are often associated with Negative price changes. The transitional range around 0.6 to 0.65 suggests mixed results and may require deeper analysis based on additional qualitative factors."
Statement Similarity Score,negative,0.2,20,0.4,0.4,0.42857142857142855,0.375,"Higher average similarity scores (generally above 0.5) are associated with positive price movements, while lower scores (below around 0.45) often correlate with negative movements. Scores between these thresholds may lead to mixed outcomes, suggesting a more complex relationship."
News Similarity Score,negative,0.2,25,0.4,0.5263157894736842,0.45454545454545453,0.625,"The analysis of the training data indicates that an average similarity score above approximately 0.63 tends to correlate with positive price movements, whereas scores below that threshold suggest negative price movements. There are some exceptions, as specific scores lead to varying price movements, illustrating a nuanced relationship influenced by additional qualitative factors beyond similarity. Overall, a higher average similarity score is generally associated with positive sentiments in price movement."
Statement Similarity Score,negative,0.33,20,0.64,0.7272727272727273,0.6,0.9230769230769231,"Higher average similarity scores (above approximately 0.5) tend to correlate with positive price movements, whereas lower scores (below approximately 0.5) are more often associated with negative movements."
News Similarity Score,negative,0.33,25,0.68,0.75,0.631578947368421,0.9230769230769231,"Higher average similarity scores (generally above 0.65) tend to indicate positive price movements, while lower scores (below approximately 0.63) are often associated with negative price movements. Scores around 0.58 to 0.64 show more variance, suggesting additional context may be needed for that range."
Statement Similarity Score,positive,0.2,25,0.3888888888888889,0.42105263157894735,0.4444444444444444,0.4,"Higher average similarity scores (above 0.5) tend to correspond with positive price movements, while lower scores (below 0.5) often lead to negative movements. There are exceptions, but this general trend indicates that closely aligned press conference content with baseline texts positively influences market sentiment."
News Similarity Score,positive,0.2,30,0.4444444444444444,0.5,0.5,0.5,"Higher average similarity scores tend to correlate with positive price movements, while lower scores are often associated with negative movements. A score greater than approximately 0.6 has shown a tendency to lead to positive price movements, whereas scores below this threshold often predict negative outcomes."
Statement Similarity Score,positive,0.33,25,0.5333333333333333,0.5625,0.6,0.5294117647058824,"The analysis indicates that lower average similarity scores (around 0.45 or lower) tend to correlate with negative price movements, while higher scores (around 0.5 and above) often lead to positive price movements. There is a clear threshold around 0.475 where the prediction can switch between positive and negative. This suggests that the content's alignment with baseline texts (indicated by the similarity score) significantly influences market sentiment."
News Similarity Score,positive,0.33,30,0.4666666666666667,0.5789473684210527,0.5238095238095238,0.6470588235294118,"From the analysis, it appears that average similarity scores below 0.6 tend to correlate with negative price movements, while scores above 0.6 are more frequently associated with positive price movements. Additionally, there are some exceptions at similar scores around the 0.5 range, indicating that other qualitative factors could also influence price movements."
Statement Similarity Score,negative,0.2,25,0.4,0.4,0.42857142857142855,0.375,"The analysis indicates that lower average similarity scores (below approximately 0.42) tend to correlate with negative price movements, while higher scores generally point towards positive price shifts. Scores around 0.45 to 0.52 have shown mixed outcomes, suggesting the need for further context-specific evaluation."
News Similarity Score,negative,0.2,30,0.6,0.6666666666666666,0.6,0.75,"The analysis of the training data reveals that a higher average similarity score is generally associated with positive price movements, while lower scores tend to correlate with negative movements. This suggests that financial markets may interpret increased alignment between policy discussions and expected economic conditions as positive signals, influencing investor sentiment positively. Specific thresholds may exist, as movement transitions occur around scores in the mid-0.6 range."
Statement Similarity Score,negative,0.33,25,0.52,0.5,0.5454545454545454,0.46153846153846156,"Higher average similarity scores tend to correlate with more positive price movements, while lower scores often relate to negative movements. A score around 0.46 appears to be a threshold, with values above indicating a higher likelihood of positive price sentiment, whereas values below this threshold are more likely to signal negative sentiment."
News Similarity Score,negative,0.33,30,0.6,0.6666666666666666,0.5882352941176471,0.7692307692307693,"The analysis of the training data shows that higher average similarity scores tend to correlate with a positive price movement, while lower scores are more often associated with negative price movement. Specifically, scores above approximately 0.6300 are frequently linked with positive outcomes, while those below this threshold correspond to negative results. This suggests that market interpretations of press conference transcripts relative to established norms or news articles significantly influence price reactions."
Statement Similarity Score,positive,0.2,30,0.6111111111111112,0.6666666666666666,0.6363636363636364,0.7,"Analysis shows that higher average similarity scores generally correlate with positive price movements, while lower scores tend to align with negative movements. A threshold around 0.440 appears as a distinguishing point, with scores above this level more frequently leading to positive outcomes."
News Similarity Score,positive,0.2,35,0.4444444444444444,0.5833333333333334,0.5,0.7,"Records with higher average similarity scores tend to indicate Positive price movements, while lower scores often correlate with Negative movements. Generally, a threshold around 0.6 seems to favor Positive outcomes, with values significantly below this threshold more likely aligning with Negative price movements."
Statement Similarity Score,positive,0.33,30,0.4666666666666667,0.4666666666666667,0.5384615384615384,0.4117647058823529,"The analysis indicates that higher average similarity scores tend to correlate with positive price movements, while lower scores are more often associated with negative movements. Specifically, a threshold appears to exist around a score of approximately 0.45, where scores above this often lead to positive outcomes and those below tend to lead to negative ones. However, exceptions exist, necessitating caution in using similarity scores as a sole predictor."
News Similarity Score,positive,0.33,35,0.4666666666666667,0.6190476190476191,0.52,0.7647058823529411,"The analysis indicates that higher average similarity scores generally correlate with positive price movements, while lower scores tend to be associated with negative movements. Generally, scores above approximately 0.56 tend to predict positive movements, while scores around or below this threshold often suggest negative movements."
Statement Similarity Score,negative,0.2,30,0.26666666666666666,0.26666666666666666,0.2857142857142857,0.25,"The analysis indicates that higher Average Similarity Scores tend to correlate with Positive price movements, while lower scores often indicate Negative price movements. Scores below approximately 0.4 frequently led to Negative outcomes, while scores above 0.45 show a stronger tendency toward Positive price movements."
News Similarity Score,negative,0.2,35,0.6666666666666666,0.7058823529411765,0.6666666666666666,0.75,"The analysis of average similarity scores indicates a varied but discernible pattern relating to price movements. Scores above approximately 0.64 are more commonly associated with positive price movements, while scores below this threshold tend to lean towards negative movements. Notably, scores around 0.6 exhibit less consistency, often reflecting mixed movements. This suggests that a higher average similarity score correlates with positive sentiment and subsequent price increases."
Statement Similarity Score,negative,0.33,30,0.32,0.37037037037037035,0.35714285714285715,0.38461538461538464,"The analysis indicates that higher average similarity scores generally correlate with positive price movements, with a threshold score of around 0.44 suggesting a shift towards positive sentiment. Scores below 0.42 significantly lean towards negative price movements, while scores between this range exhibit mixed outcomes."
News Similarity Score,negative,0.33,35,0.44,0.4166666666666667,0.45454545454545453,0.38461538461538464,"Higher average similarity scores (generally above 0.63) tend to correlate with positive price movements, while lower scores often indicate negative movements. Specific scoring ranges suggest thresholds, with scores around 0.62 and below frequently aligning with negative outcomes."
