Type,Statement Price Movement,Test Size,Number of Matching Sentences,Accuracy,F1 Score,Precision,Recall,Insights
News Similarity Score,positive,0.33,25,0.7,0.8085106382978723,0.8260869565217391,0.7916666666666666,"A higher average similarity score is generally associated with High price volatility, while lower scores tend to indicate Low volatility. Thresholds around 0.400 appear to differentiate between the two categories, with multiple instances showing that scores above 0.430 correlate frequently with High volatility."
Statement Similarity Score,negative,0.2,20,0.6666666666666666,0.8,0.8333333333333334,0.7692307692307693,"There is a strong correlation between the Average Similarity Score and Price Volatility. Scores above approximately 0.295 tend to indicate High volatility, while scores below this threshold are more likely to correspond to Low volatility."
News Similarity Score,negative,0.2,25,0.4,0.5263157894736842,0.8333333333333334,0.38461538461538464,"Higher average similarity scores generally correspond to High price volatility, while lower scores are associated with Low volatility. A liquidity threshold appears to be around 0.45, with scores above this indicating a trend towards High volatility."
Statement Similarity Score,negative,0.33,20,0.64,0.7567567567567568,0.875,0.6666666666666666,"Higher average similarity scores (above 0.30) were predominantly associated with High price volatility, while scores below this threshold were more evenly distributed, tending towards Low volatility."
News Similarity Score,negative,0.33,25,0.68,0.7894736842105263,0.8823529411764706,0.7142857142857143,"A higher average similarity score generally indicates a propensity for high price volatility, with scores above approximately 0.45 correlating with high volatility outcomes. Lower scores tend to align with low volatility."
Statement Similarity Score,positive,0.2,25,0.5555555555555556,0.6923076923076923,0.75,0.6428571428571429,"Higher Average Similarity Scores (generally above 0.30) correlate with High price volatility, while scores below 0.25 tend to indicate Low price volatility."
News Similarity Score,positive,0.2,30,0.6666666666666666,0.8,0.75,0.8571428571428571,"There is a strong correlation between higher average similarity scores (above approximately 0.4) and high price volatility, while scores below this threshold tend to indicate lower volatility. The threshold can be seen around 0.3500-0.4000, suggesting a critical level for predicting market reactions."
Statement Similarity Score,positive,0.33,25,0.4666666666666667,0.5294117647058824,0.9,0.375,"Higher average similarity scores (generally above 0.30) are positively correlated with high price volatility, while lower scores (below 0.27) often indicate low price volatility."
News Similarity Score,positive,0.33,30,0.8,0.875,0.875,0.875,"Higher average similarity scores tend to correlate with 'High' price volatility, while lower scores are associated with 'Low' volatility. A threshold around 0.4 seems to be a dividing line, with scores above typically indicating higher volatility."
Statement Similarity Score,negative,0.2,25,0.2,0.3333333333333333,0.6,0.23076923076923078,"Higher average similarity scores (above 0.3) are correlated with high price volatility, while scores below this threshold are typically associated with low volatility."
News Similarity Score,negative,0.2,30,0.8,0.8888888888888888,0.8571428571428571,0.9230769230769231,"Higher Average Similarity Scores (generally above 0.4) are associated with High price volatility, while a score around or below 0.4 tends to correlate with Low price volatility."
Statement Similarity Score,negative,0.33,25,0.4,0.5454545454545454,0.75,0.42857142857142855,"Higher average similarity scores (generally above 0.28) correlate with observed high price volatility, while lower scores yield low price volatility, with a notable threshold around 0.25 suggesting higher risk."
News Similarity Score,negative,0.33,30,0.64,0.7804878048780488,0.8,0.7619047619047619,"Price volatility is generally higher for Average Similarity Scores above approximately 0.4400, while lower scores tend to be associated with low volatility."
Statement Similarity Score,positive,0.2,30,0.6111111111111112,0.7407407407407407,0.7692307692307693,0.7142857142857143,"Higher average similarity scores (often above 0.27) tend to correlate with high price volatility, while lower scores (around 0.25 or less) often indicate low volatility."
News Similarity Score,positive,0.2,35,0.7777777777777778,0.8666666666666667,0.8125,0.9285714285714286,"The analysis indicates that an Average Similarity Score above approximately 0.4 is generally associated with High price volatility, while scores below this threshold are indicative of Low volatility. Variability and clustering around the threshold reflect market sensitivity to FOMC communications."
Statement Similarity Score,positive,0.33,30,0.5333333333333333,0.631578947368421,0.8571428571428571,0.5,"Higher Average Similarity Scores tend to correlate with High price volatility, while lower scores generally predict Low volatility. A threshold around 0.27 appears significant, with scores above this range being more inclined towards High volatility."
News Similarity Score,positive,0.33,35,0.7666666666666667,0.8571428571428571,0.84,0.875,"Higher average similarity scores tend to correspond with high price volatility, while lower scores are associated with low volatility."
Statement Similarity Score,negative,0.2,30,0.6,0.75,0.8181818181818182,0.6923076923076923,"Higher average similarity scores (generally above 0.25) tend to correlate with High price volatility, whereas lower scores (below 0.25) are more likely associated with Low price volatility."
News Similarity Score,negative,0.2,35,0.4666666666666667,0.5555555555555556,1.0,0.38461538461538464,"Higher Average Similarity Scores (above approximately 0.450) tend to correlate with High price volatility, while scores below 0.450 are more frequently associated with Low price volatility."
Statement Similarity Score,negative,0.33,30,0.64,0.7692307692307693,0.8333333333333334,0.7142857142857143,"Higher Average Similarity Scores (typically above 0.25) are generally associated with High price volatility, while lower scores (below 0.25) tend to indicate Low price volatility."
News Similarity Score,negative,0.33,35,0.8,0.8888888888888888,0.8333333333333334,0.9523809523809523,"The majority of records with average similarity scores above approximately 0.43 are associated with High price volatility. Scores below this threshold tend to correlate with Low volatility, indicating that higher similarity may signal increased market distress or uncertainty."
