Type,Statement Price Movement,Test Size,Number of Matching Sentences,Accuracy,F1 Score,Precision,Recall,Insights
Statement Similarity Score,negative,0.2,20,0.4444444444444444,0.5454545454545454,0.5,0.6,"Higher average similarity scores are generally associated with positive price movements, while lower scores often correlate with negative movements. A threshold around 0.26 appears significant, as scores above this value tend more frequently to predict positive price movements."
News Similarity Score,negative,0.2,25,0.5555555555555556,0.6521739130434783,0.5769230769230769,0.75,"Higher average similarity scores (e.g., above 0.43) are generally associated with positive price movements, while lower scores (below 0.4) often correlate with negative movements. This suggests a positive correlation between similarity scores and favorable market reactions."
Statement Similarity Score,negative,0.33,20,0.5,0.4827586206896552,0.5833333333333334,0.4117647058823529,"Higher average similarity scores tend to correlate with positive price movements, while lower scores are often associated with negative movements."
News Similarity Score,negative,0.33,25,0.576271186440678,0.6753246753246753,0.6046511627906976,0.7647058823529411,"The average similarity score shows a positive correlation with price movement, as higher scores tend to indicate positive price movements, while lower scores correlate with negative movements. A score of approximately 0.43 appears to be a dividing line, as scores below this threshold lead to negative predictions, while those above it generally lead to positive outcomes."
Statement Similarity Score,positive,0.2,25,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.3888888888888889,"Positive price movements are more frequently associated with higher average similarity scores, particularly above 0.3, while lower scores tend to indicate negative movements."
News Similarity Score,positive,0.2,30,0.3888888888888889,0.42105263157894735,0.4,0.4444444444444444,"Higher average similarity scores (above 0.4) tend to indicate positive price movements, while lower scores (below 0.4) are often associated with negative price movements. A noteworthy threshold appears to be around 0.35, where scores at or below this point are primarily negative."
Statement Similarity Score,positive,0.33,25,0.5166666666666667,0.4528301886792453,0.5,0.41379310344827586,"The analysis indicates that lower average similarity scores (below 0.25) tend to correlate with Negative price movements, whereas higher scores (above 0.3) are often associated with Positive price movements. Scores between 0.25 and 0.3 act as a transitional range with mixed outcomes."
News Similarity Score,positive,0.33,30,0.5,0.5161290322580645,0.48484848484848486,0.5517241379310345,"Higher average similarity scores (generally above 0.45) tend to correlate with positive price movements, while lower scores (below 0.35) often indicate negative movements. A range around 0.4 is critical for determining outcomes with mixed results."
Statement Similarity Score,negative,0.2,25,0.5277777777777778,0.6046511627906976,0.5652173913043478,0.65,"Higher average similarity scores tend to correlate with positive price movements, while lower scores are indicative of negative movements. A similarity score above approximately 0.26 appears to be a threshold for predicting positive price movements."
News Similarity Score,negative,0.2,30,0.4166666666666667,0.46153846153846156,0.47368421052631576,0.45,"Higher average similarity scores are generally associated with positive price movements, while lower scores often indicate negative price movements. A threshold around 0.43 seems to act as a dividing line, with scores above this typically predicting positive outcomes."
Statement Similarity Score,negative,0.33,25,0.4666666666666667,0.4838709677419355,0.5357142857142857,0.4411764705882353,"Higher average similarity scores tend to correlate with Positive price movements, while lower scores frequently indicate Negative movements. Thresholds appear to exist around the 0.25 to 0.29 range, serving as key indicators for discerning price outcomes."
News Similarity Score,negative,0.33,30,0.48333333333333334,0.5373134328358209,0.5454545454545454,0.5294117647058824,"The analysis indicates that higher Average Similarity Scores tend to correlate with Positive price movements, while lower scores are often associated with Negative movements. A useful threshold appears to be around 0.42, with scores above generally indicating Positive movement and those below indicating Negative."
Statement Similarity Score,positive,0.2,30,0.4722222222222222,0.42424242424242425,0.4666666666666667,0.3888888888888889,"The analysis reveals that higher average similarity scores (above 0.28) are generally associated with Positive price movements, while lower scores (below 0.24) correlate with Negative price movements. Scores in the mid-range show mixed results, indicating variability and the potential need for additional contextual data."
News Similarity Score,positive,0.2,35,0.3888888888888889,0.3125,0.35714285714285715,0.2777777777777778,"Price movements are generally influenced by average similarity scores, with higher scores tending to correlate with Positive movements, while lower scores correlate with Negative movements. A threshold of approximately 0.4 appears to distinguish between Positive and Negative price movements."
Statement Similarity Score,positive,0.33,30,0.5166666666666667,0.6027397260273972,0.5,0.7586206896551724,"Higher Average Similarity Scores (above 0.25) tend to correlate with Positive price movements, while lower scores generally indicate Negative price movements. Scores around 0.2 to 0.25 appear to show mixed results."
News Similarity Score,positive,0.33,35,0.4666666666666667,0.5,0.45714285714285713,0.5517241379310345,"Higher average similarity scores are generally associated with Positive price movements, whereas lower scores tend to predict Negative price movements. A threshold may be around 0.425, where scores above this line more frequently correlate with Positive price movements."
Statement Similarity Score,negative,0.2,30,0.5555555555555556,0.6190476190476191,0.5909090909090909,0.65,"Higher average similarity scores generally correlate with positive price movements, while lower scores tend to correlate with negative movements. A noticeable threshold appears around a score of 0.25, where scores above this threshold lean towards positive predictions and below to negative."
News Similarity Score,negative,0.2,35,0.5555555555555556,0.6190476190476191,0.5909090909090909,0.65,"Higher average similarity scores tend to correlate with positive price movements, while lower scores are associated with negative movements. A threshold near 0.41 appears significant, with scores above generally predicting positives and those below predicting negatives."
Statement Similarity Score,negative,0.33,30,0.5666666666666667,0.6060606060606061,0.625,0.5882352941176471,"The average similarity score shows a tendency for higher scores (above approximately 0.25) to correlate with positive price movements, while lower scores (below approximately 0.25) are more often associated with negative price movements."
News Similarity Score,negative,0.33,35,0.5833333333333334,0.6376811594202898,0.6285714285714286,0.6470588235294118,"The analysis reveals a trend where higher average similarity scores tend to correlate with positive price movements, while lower scores are more often associated with negative price movements. A threshold appears to be around a score of 0.4, with scores above indicating a greater likelihood of positive movement."
