Type,Statement Price Movement,Test Size,Number of Matching Sentences,Accuracy,F1 Score,Precision,Recall,Insights
Statement Similarity Score,positive,0.2,25,0.6111111111111112,0.4166666666666667,0.625,0.3125,"The analysis indicates that lower average similarity scores (particularly below 0.27) tend to correspond with Low price volatility, while Higher price volatility is often associated with scores above 0.30. Scores in the range of 0.27 to 0.30 can be ambiguous and may contain more variance."
News Similarity Score,positive,0.2,30,0.6388888888888888,0.38095238095238093,0.8,0.25,"The analysis indicates that lower average similarity scores are predominantly associated with low price volatility, whereas higher scores, particularly above 0.49, correlate with increased price volatility, suggesting a potential threshold effect."
Statement Similarity Score,positive,0.33,25,0.5833333333333334,0.3902439024390244,0.5714285714285714,0.2962962962962963,"A higher Average Similarity Score is often associated with High price volatility, particularly scores exceeding 0.330. Scores below this threshold, especially in the 0.200 to 0.300 range, tend to predict Low price volatility."
News Similarity Score,positive,0.33,30,0.5,0.3181818181818182,0.4117647058823529,0.25925925925925924,"A higher average similarity score tends to correlate with higher price volatility, while lower scores are generally associated with lower volatility. Scores around 0.45 seem to be a critical threshold where a shift can occur towards higher volatility."
Statement Similarity Score,negative,0.2,25,0.5555555555555556,0.3333333333333333,0.5714285714285714,0.23529411764705882,"Higher average similarity scores (above ~0.3) are generally associated with low price volatility. Scores below ~0.2 tend to indicate higher volatility, but there's significant variance below that point. Scores near the lower end of the scale may suggest uncertainty in market reactions."
News Similarity Score,negative,0.2,30,0.5833333333333334,0.2857142857142857,0.75,0.17647058823529413,"The analysis shows that lower average similarity scores (below approximately 0.44) are predominantly associated with Low price volatility, while scores above 0.44 tend to indicate High price volatility. This suggests a threshold exists where increased similarity may correlate with reduced uncertainty in market responses."
Statement Similarity Score,negative,0.33,25,0.5166666666666667,0.12121212121212122,0.4,0.07142857142857142,"The analysis indicates that lower average similarity scores (generally below 0.25) tend to correlate with High price volatility, while scores above 0.25 are typically associated with Low price volatility."
News Similarity Score,negative,0.33,30,0.48333333333333334,0.0,0.0,0.0,"The analysis suggests that a higher Average Similarity Score is generally associated with Low price volatility, while scores around or below 0.4 tend to indicate High price volatility."
Statement Similarity Score,positive,0.2,30,0.5555555555555556,0.1111111111111111,0.5,0.0625,"Higher Average Similarity Scores (above approximately 0.27) are often associated with High price volatility, while scores below this threshold typically indicate Low volatility."
News Similarity Score,positive,0.2,35,0.5277777777777778,0.10526315789473684,0.3333333333333333,0.0625,"Generally, lower average similarity scores tend to correlate with low price volatility, while higher similarity scores (above approximately 0.410) are more likely to associate with high price volatility. There are exceptions, but this threshold appears to be a strong predictor."
Statement Similarity Score,positive,0.33,30,0.5333333333333333,0.2631578947368421,0.45454545454545453,0.18518518518518517,"A lower average similarity score generally correlates with low price volatility, while moderate to high scores often indicate higher price volatility. Scores above approximately 0.27 tend to coincide with higher volatility, while those below generally indicate lower volatility."
News Similarity Score,positive,0.33,35,0.4666666666666667,0.2,0.3076923076923077,0.14814814814814814,"Higher Average Similarity Scores (above ~0.45) generally correspond with High price volatility, while Lower Scores (below ~0.40) tend to indicate Low price volatility. Scores in the range of 0.40 to 0.45 show mixed results."
Statement Similarity Score,negative,0.2,30,0.5555555555555556,0.38461538461538464,0.5555555555555556,0.29411764705882354,"Higher average similarity scores tend to correlate with lower price volatility, while lower similarity scores are often associated with higher volatility. A critical threshold appears to be around 0.22 to 0.25, below which the price volatility is likely 'High', and above which it is often 'Low'."
News Similarity Score,negative,0.2,35,0.5277777777777778,0.0,0.0,0.0,"The analysis indicates that lower average similarity scores are predominantly associated with Low price volatility, whereas higher scores tend to correlate with High price volatility. A threshold appears to exist around 0.4-0.46 where the probability of High volatility increases notably."
Statement Similarity Score,negative,0.33,30,0.43333333333333335,0.22727272727272727,0.3125,0.17857142857142858,"Lower average similarity scores (below approximately 0.24) tend to correlate with Low price volatility, while scores above this threshold are more likely to indicate High price volatility. There seems to be a significant degree of variability as some intermediate scores also lead to High volatility outcomes, indicating that other factors may also play a role."
News Similarity Score,negative,0.33,35,0.5,0.34782608695652173,0.4444444444444444,0.2857142857142857,"Higher average similarity scores tend to correlate with lower price volatility, while lower scores are often associated with higher volatility, indicating uncertainty or a significant divergence from expected central bank policies."
