Type,Statement Price Movement,Test Size,Number of Matching Sentences,Accuracy,F1 Score,Precision,Recall,Insights
News Similarity Score,positive,0.33,30,0.6842105263157895,0.7857142857142857,0.9166666666666666,0.6875,"Higher average similarity scores (above approximately 0.4) are generally associated with High price volatility, while scores below this threshold tend to indicate Low price volatility. There is a clear correlation between the similarity score and volatility, with more similarity suggesting stronger market reactions."
Statement Similarity Score,negative,0.2,25,0.8,0.8888888888888888,0.8888888888888888,0.8888888888888888,"Higher average similarity scores generally correlate with High price volatility, while lower scores indicate Low volatility. A threshold around 0.22 seems to lean towards High volatility, while scores near or below 0.25 often indicate Low volatility."
News Similarity Score,negative,0.2,30,0.7,0.8,1.0,0.6666666666666666,"Higher average similarity scores (typically above 0.440) correlate with higher price volatility, while lower scores (below 0.430) are often indicative of lower price volatility."
Statement Similarity Score,negative,0.33,25,0.375,0.5454545454545454,0.8571428571428571,0.4,"Higher average similarity scores correlate with high price volatility, while lower scores tend to indicate low price volatility. A threshold appears around a score of 0.26, below which volatility is typically low."
News Similarity Score,negative,0.33,30,0.75,0.8461538461538461,1.0,0.7333333333333333,"Higher average similarity scores (typically above 0.42) correlate with High price volatility, while scores below this threshold often indicate Low price volatility."
Statement Similarity Score,positive,0.2,30,0.4166666666666667,0.5882352941176471,0.7142857142857143,0.5,"A higher average similarity score appears to correlate with increased price volatility, while lower scores tend to suggest lower volatility. A threshold around 0.25 could serve as a pivotal point, with scores above this indicating a likelihood of high volatility."
News Similarity Score,positive,0.2,35,0.6666666666666666,0.7777777777777778,0.875,0.7,"Higher average similarity scores generally correlate with high price volatility, while lower scores are often associated with low volatility. A threshold around 0.37 seems indicative, with scores above tending to indicate high volatility."
Statement Similarity Score,positive,0.33,30,0.5263157894736842,0.6666666666666666,0.8181818181818182,0.5625,"Higher average similarity scores (generally above 0.27) tend to correlate with High price volatility, while scores below approximately 0.24 are often associated with Low volatility."
News Similarity Score,positive,0.33,35,0.5789473684210527,0.6923076923076923,0.9,0.5625,"The relationship between the average similarity score and price volatility suggests that higher similarity scores (above approximately 0.4) tend to correlate with high price volatility, while lower scores tend to correspond with low volatility."
Statement Similarity Score,negative,0.2,30,0.6,0.75,0.8571428571428571,0.6666666666666666,"The analysis indicates a pattern where higher average similarity scores (generally above 0.25) are associated with High price volatility, while scores below this threshold tend to correlate with Low volatility."
News Similarity Score,negative,0.2,35,0.7,0.8,1.0,0.6666666666666666,"Higher average similarity scores generally correlate with higher price volatility, while lower similarity scores tend to indicate lower price volatility. A threshold around 0.42 seems indicative for differentiating between High and Low volatility cases."
Statement Similarity Score,negative,0.33,30,0.5,0.6666666666666666,0.8888888888888888,0.5333333333333333,"Price volatility is more likely to be High when the Average Similarity Score is above approximately 0.24, while scores below this threshold tend to indicate Low volatility."
News Similarity Score,negative,0.33,35,0.75,0.8571428571428571,0.9230769230769231,0.8,"Higher average similarity scores are generally associated with high price volatility, while lower scores tend to correlate with low volatility. The threshold for predicting high volatility appears to be around 0.4 to 0.5 based on training data analysis."
